Name,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Achim Ebert,Text3,0.049382716,0.296296296,0.050632911,0.12345679,265,0.74574673,0.0053
Mary C. Whitton,Text1,0.126126126,0.4,0.12962963,0.254545455,331,0.7748833,0.038
Mary C. Whitton,Text2,0.090909091,0.372093023,0.095238095,0.209302326,370,0.69267416,0.0135
Mary C. Whitton,Text3,0.081081081,0.25,0.057142857,0.25,190,0.6334754,0.0076
Henry Fuchs,Text1,0.145454545,0.407407407,0.153846154,0.222222222,184,0.63268024,0.0556
Henry Fuchs,Text2,0.181818182,0.4,0.19047619,0.276923077,154,0.6197286,0.0214
Henry Fuchs,Text3,0.210526316,0.464285714,0.222222222,0.357142857,203,0.74615717,0.0591
Dieter Schmalstieg,Text1,0.142857143,0.509090909,0.150943396,0.290909091,196,0.7870308,0.0593
Dieter Schmalstieg,Text2,0.158730159,0.444444444,0.163934426,0.285714286,168,0.6860676,0.0492
Dieter Schmalstieg,Text3,0.25,0.509090909,0.264150943,0.327272727,210,0.8037936,0.179
Anna Celler,Text1,0.151898734,0.545454545,0.133333333,0.311688312,224,0.81800693,0.0426
Anna Celler,Text2,0.125,0.35483871,0.133333333,0.258064516,232,0.7126911,0.0364
Anna Celler,Text3,0.076923077,0.28,0.083333333,0.28,159,0.5749393,0.0068
Ghassan Hamarneh,Text1,0.117647059,0.376237624,0.141414141,0.217821782,381,0.7154044,0.0306
Ghassan Hamarneh,Text2,0.112359551,0.431818182,0.11627907,0.181818182,319,0.7209198,0.0142
Ghassan Hamarneh,Text3,0.114942529,0.441860465,0.119047619,0.255813953,194,0.839908,0.0262
Xenophon Papademetris,Text1,0.155555556,0.449438202,0.16091954,0.292134831,339,0.83395386,0.0423
Xenophon Papademetris,Text2,0.125,0.4,0.12962963,0.218181818,244,0.76104516,0.0271
Xenophon Papademetris,Text3,0.166666667,0.390243902,0.175,0.268292683,391,0.81997395,0.0379
Penny Rheingans,Text1,0.189473684,0.494623656,0.197802198,0.322580645,332,0.7841432,0.1387
Penny Rheingans,Text2,0.137931034,0.372093023,0.142857143,0.209302326,271,0.6608826,0.0269
Penny Rheingans,Text3,0.129032258,0.373626374,0.134831461,0.21978022,213,0.79351014,0.029
Marie desJardins,Text1,0.17721519,0.512820513,0.184210526,0.333333333,243,0.76539284,0.056
Marie desJardins,Text2,0.179104478,0.515151515,0.1875,0.272727273,235,0.7327356,0.0358
Marie desJardins,Text3,0.175,0.512820513,0.184210526,0.333333333,180,0.84379435,0.0546
Carla E. Brodley,Text1,0.2,0.564102564,0.210526316,0.358974359,243,0.83152604,0.0568
Carla E. Brodley,Text2,0.157894737,0.432432432,0.166666667,0.243243243,253,0.70408714,0.0365
Carla E. Brodley,Text3,0.17721519,0.441558442,0.186666667,0.285714286,212,0.82768804,0.0544
